Chromosome	Integration site	Dataset
chr1	26315934	Lucic
chr16	89551527	Lucic
chr7	77488787	Lucic
chr18	2707755	Lucic
chr12	109076847	Lucic
chr12	39746011	Lucic
chr7	64010283	Lucic
chr3	48069704	Lucic
chr4	183036256	Lucic
chr20	11839048	Lucic
chr5	121341540	Lucic
chr12	64764353	Lucic
chr22	28292143	Lucic
chr10	15069749	Lucic
chr3	69287722	Lucic
chr12	12557988	Lucic
chr10	5470778	Lucic
chr1	67663073	Lucic
chr2	144197523	Lucic
chr3	17443681	Lucic
chr15	50493285	Lucic
chr17	73205726	Lucic
chr18	33601886	Lucic
chr17	2509133	Lucic
chr2	171613959	Lucic
chr8	30411386	Lucic
chr10	6076331	Lucic
chr3	155515073	Lucic
chr6	135799028	Lucic
chr8	128874576	Lucic
chr2	99991782	Lucic
chrX	48766075	Lucic
chr16	50131146	Lucic
chr20	3782382	Lucic
chr5	72436030	Lucic
chr8	83855457	Lucic
chr11	17296724	Lucic
chr2	198749059	Lucic
chr14	75999397	Lucic
chr12	22758266	Lucic
chr3	48873774	Lucic
chr22	22140534	Lucic
chr3	63881418	Lucic
chr9	6005427	Lucic
chr9	22710159	Lucic
chr11	92545670	Lucic
chr11	9746078	Lucic
chr19	46554037	Lucic
chr22	41331906	Lucic
chr10	29928660	Lucic
chr2	109200247	Lucic
chr20	10391730	Lucic
chr6	157252250	Lucic
chr6	91270177	Lucic
chr9	94654252	Lucic
chrX	50340041	Lucic
chr1	202633884	Lucic
chr1	34654898	Lucic
chr1	43729016	Lucic
chr10	71057889	Lucic
chr11	131871678	Lucic
chr11	767885	Lucic
chr12	108834274	Lucic
chr12	112122567	Lucic
chr12	112317285	Lucic
chr12	1545330	Lucic
chr14	89647418	Lucic
chr15	60834677	Lucic
chr15	98302717	Lucic
chr17	8764424	Lucic
chr17	9166722	Lucic
chr18	67847740	Lucic
chr19	1312669	Lucic
chr19	3808133	Lucic
chr19	7907356	Lucic
chr2	3141785	Lucic
chr2	46695979	Lucic
chr2	86117353	Lucic
chr20	13410291	Lucic
chr21	27539264	Lucic
chr3	61873889	Lucic
chr4	2543654	Lucic
chr4	3470171	Lucic
chr4	93324765	Lucic
chr5	9540631	Lucic
chr6	5381330	Lucic
chr8	125689152	Lucic
chr8	133812882	Lucic
chrX	12469843	Lucic
chr5	150111638	Lucic
chr5	25160691	Lucic
chr21	36342095	Lucic
chr3	196653011	Lucic
chr17	78571425	Lucic
chr22	39802624	Lucic
chr5	130843259	Lucic
chr5	168481018	Lucic
chr3	180565342	Lucic
chr15	52878782	Lucic
chr1	150102828	Lucic
chr3	108548695	Lucic
chr5	41912961	Lucic
chr14	46821117	Lucic
chr4	36213370	Lucic
chr9	131584374	Lucic
chr12	54777640	Lucic
chr3	50880297	Lucic
chr16	2808795	Lucic
chr8	42183119	Lucic
chr1	213039254	Lucic
chr11	102273838	Lucic
chr3	15742203	Lucic
chr15	41322601	Lucic
chr1	33951106	Lucic
chr19	45388661	Lucic
chr1	112051639	Lucic
chr12	109676818	Lucic
chr19	14720572	Lucic
chr12	133254556	Lucic
chr1	174953801	Lucic
chrX	114532467	Lucic
chr14	91499076	Lucic
chr10	104869846	Lucic
chr12	76274873	Lucic
chr8	145650439	Lucic
chrX	10050578	Lucic
chr8	101350303	Lucic
chr4	40585797	Lucic
chr22	25280663	Lucic
chr11	116933183	Lucic
chr19	16502164	Lucic
chr2	20780205	Lucic
chr3	49353453	Lucic
chr4	122145440	Lucic
chrX	51585874	Lucic
chr3	39177471	Lucic
chr17	37008137	Lucic
chr18	61462717	Lucic
chr2	173417977	Lucic
chr9	86112985	Lucic
chr8	106484827	Lucic
chr8	42798248	Lucic
chr22	42098237	Lucic
chr8	10678655	Lucic
chr4	151924088	Lucic
chr1	183161932	Lucic
chr19	30506114	Lucic
chr9	108143751	Lucic
chr17	5267950	Lucic
chr5	110814100	Lucic
chr2	74246306	Lucic
chr20	35514627	Lucic
chr5	139819181	Lucic
chr4	175159148	Lucic
chr16	249274	Lucic
chr2	122461165	Lucic
chr8	125475121	Lucic
chr3	37187074	Lucic
chrX	105443136	Lucic
chr1	155793606	Lucic
chr12	121748636	Lucic
chr20	56900459	Lucic
chr18	47563432	Lucic
chrX	135751608	Lucic
chr11	61727939	Lucic
chr3	101241007	Lucic
chr12	24882929	Lucic
chr15	25529699	Lucic
chr2	136734277	Lucic
chr7	5241299	Lucic
chr1	161539814	Lucic
chr19	56648243	Lucic
chr4	39644986	Lucic
chr17	33581958	Lucic
chr17	60717971	Lucic
chr11	67060552	Lucic
chr13	41824726	Lucic
chr17	27015441	Lucic
chr7	111566811	Lucic
chr18	3957985	Lucic
chr8	106301808	Lucic
chr19	2144007	Lucic
chr4	186348140	Lucic
chr4	89762567	Lucic
chrX	3624322	Lucic
chr18	12800683	Lucic
chr22	39475755	Lucic
chr7	37370870	Lucic
chr15	66644733	Lucic
chr10	75591540	Lucic
chr12	124146598	Lucic
chr19	23784986	Lucic
chr10	27097574	Lucic
chr3	65752490	Lucic
chr10	121597184	Lucic
chr14	64449362	Lucic
chr15	65165446	Lucic
chr20	35659206	Lucic
chr3	131426183	Lucic
chr5	16612096	Lucic
chrX	19731263	Lucic
chr2	86405208	Lucic
chr5	127403852	Lucic
chr7	67625162	Lucic
chr1	42780018	Lucic
chr11	9742459	Lucic
chr12	88437966	Lucic
chr15	74953994	Lucic
chr16	75701132	Lucic
chr5	178991214	Lucic
chr1	210623561	Lucic
chr10	5880879	Lucic
chr13	77784367	Lucic
chr17	33913059	Lucic
chr19	23178336	Lucic
chr2	66100058	Lucic
chr20	32337195	Lucic
chr3	2828982	Lucic
chr4	9094160	Lucic
chr6	149110782	Lucic
chr7	55467133	Lucic
chr9	135782972	Lucic
chr1	162471651	Lucic
chr1	237320518	Lucic
chr13	46709997	Lucic
chr14	105682240	Lucic
chr14	29835128	Lucic
chr16	81578378	Lucic
chr17	17232388	Lucic
chr2	219397167	Lucic
chr2	27279790	Lucic
chr4	151835201	Lucic
chr4	56888118	Lucic
chr6	119263955	Lucic
chr6	84041227	Lucic
chr9	103002173	Lucic
chr9	39146608	Lucic
chr3	122928509	Lucic
chr19	34902064	Lucic
chr17	76750294	Lucic
chr10	15565857	Lucic
chr11	229885	Lucic
chr5	145524362	Lucic
chr10	15731670	Lucic
chr19	16750982	Lucic
chrX	15504368	Lucic
chrX	73964913	Lucic
chr2	198339332	Lucic
chr12	65081351	Lucic
chr11	71680963	Lucic
chr12	26685716	Lucic
chr2	89130470	Lucic
chr19	18237369	Lucic
chr16	2489819	Lucic
chr1	94641357	Lucic
chr10	8305819	Lucic
chr10	103196298	Lucic
chr6	134755163	Lucic
chr3	173664948	Lucic
chr14	50409707	Lucic
chr11	34092346	Lucic
chr12	40001044	Lucic
chr12	96625363	Lucic
chr2	51859630	Lucic
chr17	41329059	Lucic
chr19	50278664	Lucic
chr3	47722792	Lucic
chr7	133041656	Lucic
chr5	66292029	Lucic
chr6	146256437	Lucic
chr14	55792290	Lucic
chr13	75885958	Lucic
chr16	52564345	Lucic
chr8	82743859	Lucic
chr10	82237558	Lucic
chr19	49818124	Lucic
chr12	65081229	Lucic
chr19	7907313	Lucic
chr4	108946958	Lucic
chr1	236313463	Lucic
chr1	27951220	Lucic
chr1	44357049	Lucic
chr15	71745051	Lucic
chr17	31638426	Lucic
chr17	43157037	Lucic
chr17	80165965	Lucic
chr17	80166141	Lucic
chr17	80586802	Lucic
chr17	9719813	Lucic
chr19	52473411	Lucic
chr19	53232668	Lucic
chr2	102809534	Lucic
chr2	66273801	Lucic
chr21	30586476	Lucic
chr21	45731249	Lucic
chr3	138461604	Lucic
chr3	139062422	Lucic
chr4	166019942	Lucic
chr5	167667147	Lucic
chr7	3548056	Lucic
chr8	134104430	Lucic
chr8	25543315	Lucic
chr8	30095785	Lucic
chr21	17222574	Lucic
chr11	67960843	Lucic
chr12	3044913	Lucic
chr19	6819525	Lucic
chr5	138412745	Lucic
chrX	33209637	Lucic
chr3	128613019	Lucic
chr10	35419125	Lucic
chr10	125184024	Lucic
chr16	68313902	Lucic
chr3	58054792	Lucic
chr17	29137797	Lucic
chr19	49596445	Lucic
chr2	206007524	Lucic
chr2	97787478	Lucic
chr3	45171706	Lucic
chr11	66679426	Lucic
chr16	69846478	Lucic
chr20	17704562	Lucic
chr21	26795278	Lucic
chr19	10720072	Lucic
chr3	112195247	Lucic
chr3	14970174	Lucic
chr2	84924737	Lucic
chr4	26356758	Lucic
chr4	76652260	Lucic
chr10	32142049	Lucic
chr7	70911630	Lucic
chr21	28322572	Lucic
chr14	97935859	Lucic
chr3	32571819	Lucic
chr1	112984840	Lucic
chr19	15503094	Lucic
chr6	143107892	Lucic
chr1	45152274	Lucic
chr13	32843755	Lucic
chr20	30071025	Lucic
chr1	120304314	Lucic
chr17	41241661	Lucic
chr1	245197825	Lucic
chr4	176268327	Lucic
chr7	44093884	Lucic
chr17	76726185	Lucic
chr6	15357167	Lucic
chr8	145722753	Lucic
chr1	115268150	Lucic
chr9	129992854	Lucic
chr17	76214085	Lucic
chr2	141618902	Lucic
chr2	233588842	Lucic
chr3	197596707	Lucic
chr5	151346544	Lucic
chr11	131551757	Lucic
chr13	99146193	Lucic
chr14	24710745	Lucic
chr15	26049188	Lucic
chr15	60834957	Lucic
chr2	223478186	Lucic
chr7	28096221	Lucic
chr1	1453807	Lucic
chr1	178081612	Lucic
chr10	104387060	Lucic
chr10	129865296	Lucic
chr11	27545669	Lucic
chr12	124915641	Lucic
chr12	124915806	Lucic
chr12	3044798	Lucic
chr13	114562065	Lucic
chr14	105338474	Lucic
chr14	63955489	Lucic
chr15	51204855	Lucic
chr15	69678131	Lucic
chr16	18108633	Lucic
chr16	356177	Lucic
chr16	54279879	Lucic
chr16	57946608	Lucic
chr16	84445884	Lucic
chr17	11550686	Lucic
chr17	80166189	Lucic
chr18	72741539	Lucic
chr19	16178917	Lucic
chr19	3156437	Lucic
chr19	38569130	Lucic
chr2	131597728	Lucic
chr2	1600478	Lucic
chr20	1258306	Lucic
chr21	42813960	Lucic
chr21	46950136	Lucic
chr22	40019897	Lucic
chr4	140008716	Lucic
chr4	144758954	Lucic
chr4	28524953	Lucic
chr5	166914370	Lucic
chr6	151158220	Lucic
chr7	102027126	Lucic
chr7	2081864	Lucic
chr7	55163349	Lucic
chr8	139704051	Lucic
chr8	82583553	Lucic
chr9	139997512	Lucic
chrX	10230580	Lucic
chrX	118519334	Lucic
chrX	152766561	Lucic
chrX	20083477	Lucic
chr1	51730921	Lucic
chr10	22008310	Lucic
chr10	104520994	Lucic
chr17	17761994	Lucic
chr17	74214370	Lucic
chr17	80166230	Lucic
chr19	39836476	Lucic
chr2	86339875	Lucic
chr2	130951633	Lucic
chr2	132238048	Lucic
chr3	67821113	Lucic
chr4	148667649	Lucic
chr5	43234834	Lucic
chr5	133534349	Lucic
chr6	63997538	Lucic
chr8	134481559	Lucic
chr1	32386823	Lucic
chr17	28792965	Lucic
chr18	635831	Lucic
chr2	226465934	Lucic
chr22	25548664	Lucic
chr22	46917635	Lucic
chr3	15254195	Lucic
chr3	71048333	Lucic
chr5	145599959	Lucic
chrX	47580562	Lucic
chr15	23116163	Lucic
chr12	95696929	Lucic
chr16	59201538	Lucic
chr6	90063093	Lucic
chr7	152434967	Lucic
chr3	195589572	Lucic
chr15	101092813	Lucic
chr9	33502939	Lucic
chr18	54707016	Lucic
chr5	91141295	Lucic
chr22	31745643	Lucic
chr9	6674152	Lucic
chr9	123513120	Lucic
chr17	79365272	Lucic
chr1	207098122	Lucic
chr3	182883201	Lucic
chr12	102226295	Lucic
